train_domain,test_domain,fold,accuracy,precision,recall,f1,eval_type
yelp,amazon,2,0.8378532415103301,0.9032099975496202,0.5497390007457121,0.6834785833487854,OOD
yelp,yelp,3,0.821,0.9624911535739561,0.8168168168168168,0.8836907082521117,IND
yelp,imdb,3,0.74768,0.8281399046104928,0.62508,0.7124230681559152,OOD
yelp,rotten,3,0.6837736754735094,0.7176147397338133,0.60604,0.6571248888599744,OOD
yelp,amazon,3,0.836903348373308,0.8984165651644336,0.5500372856077554,0.6823311748381129,OOD
yelp,yelp,4,0.836,0.9581905414667581,0.8396396396396396,0.8950064020486556,IND
yelp,imdb,4,0.75266,0.8163469725046326,0.652,0.7249760935797362,OOD
yelp,rotten,4,0.6858937178743575,0.7134132341461175,0.62144,0.6642580755499498,OOD
yelp,amazon,4,0.8376632628829257,0.877382319173364,0.5698732289336316,0.6909584086799276,OOD
yelp,yelp,5,0.8385,0.9545762711864407,0.8461538461538461,0.897100987575661,IND
yelp,imdb,5,0.74864,0.816916488222698,0.64092,0.718294705697763,OOD
yelp,rotten,5,0.6801936038720774,0.7170247615377204,0.59536,0.6505529087809782,OOD
yelp,amazon,5,0.8376632628829257,0.9061032863849765,0.5469052945563012,0.6821056547619048,OOD
