train_domain,test_domain,fold,accuracy,precision,recall,f1,eval_type
rotten,imdb,4,0.83928,0.8890468764333548,0.77532,0.8282979359856416,OOD
rotten,amazon,4,0.7651864165281406,0.6859556494192186,0.48441461595824015,0.5678321678321678,OOD
rotten,yelp,4,0.6868,0.9632405424696645,0.6484863046612206,0.7751292360712234,OOD
rotten,rotten,5,0.7737773777377738,0.7754527162977867,0.7708,0.7731193580742227,IND
rotten,imdb,5,0.83482,0.8948535308269258,0.7588,0.8212298967510119,OOD
rotten,amazon,5,0.7706008074091665,0.7020909678810089,0.48575689783743475,0.5742242595204513,OOD
rotten,yelp,5,0.6701,0.96398891966759,0.6271023546371937,0.7598806317781498,OOD
amazon,amazon,1,0.9263832818807884,0.8838421444527178,0.8851603281133482,0.8845007451564829,IND
amazon,imdb,1,0.68076,0.7380927291886196,0.56036,0.63706230104593,OOD
amazon,rotten,1,0.5501710034200684,0.557306655703257,0.488,0.5203557185813908,OOD
amazon,yelp,1,0.8466,0.9242689327668083,0.8885151369533878,0.9060394462820042,OOD
amazon,amazon,2,0.9273331750178105,0.900852052672347,0.8672632363907532,0.8837386018237082,IND
amazon,imdb,2,0.69578,0.7544844798003432,0.58044,0.6561164741256528,OOD
amazon,rotten,2,0.5563711274225485,0.5640478029717817,0.49652,0.5281341076860893,OOD
amazon,yelp,2,0.8447,0.9250470809792843,0.885151369533878,0.904659586223832,OOD
amazon,amazon,3,0.9232961291854667,0.8915384615384615,0.8642803877703207,0.8776978417266187,IND
amazon,imdb,3,0.69616,0.7503318019397652,0.58796,0.6592958062345817,OOD
amazon,rotten,3,0.5594511890237804,0.5683731199116876,0.49428,0.5287435014227337,OOD
amazon,yelp,3,0.8426,0.9232505643340858,0.8844305622296973,0.903423732973371,OOD
amazon,amazon,4,0.9242460223224888,0.8807749627421758,0.8814317673378076,0.8811032426388371,IND
amazon,imdb,4,0.6985,0.745923980375638,0.60208,0.6663272759467894,OOD
amazon,rotten,4,0.5520510410208204,0.5589741266029272,0.49344,0.5241666489621619,OOD
amazon,yelp,4,0.8464,0.928319030792529,0.8837097549255166,0.9054652880354506,OOD
amazon,amazon,5,0.9299453811446212,0.9047987616099071,0.8717375093214019,0.8879605013292822,IND
amazon,imdb,5,0.69186,0.7399329698364264,0.59168,0.657553732968816,OOD
amazon,rotten,5,0.5532310646212925,0.558841732979664,0.50564,0.5309113817723645,OOD
amazon,yelp,5,0.8371,0.9267049075844487,0.8733781835655935,0.8992516544003958,OOD
yelp,yelp,1,0.9135,0.9424673784104389,0.9543543543543543,0.9483736198149806,IND
yelp,imdb,1,0.70654,0.6359781950333131,0.966,0.7669953789719404,OOD
yelp,rotten,1,0.5634312686253725,0.5362381757528675,0.93876,0.6825756914754384,OOD
yelp,amazon,1,0.8099263832818808,0.6615660490137477,0.8253542132736763,0.7344392833443928,OOD
yelp,yelp,2,0.91,0.9344645991808075,0.9591591591591592,0.94665085951393,IND
yelp,imdb,2,0.70398,0.6342009000236848,0.96396,0.7650597628533786,OOD
yelp,rotten,2,0.5618712374247485,0.5353583836167489,0.93692,0.6813765417733302,OOD
yelp,amazon,2,0.8081215863215389,0.6579727326615293,0.8277404921700223,0.7331571994715984,OOD
yelp,yelp,3,0.92,0.9418672930123312,0.9633633633633634,0.9524940617577197,IND
yelp,imdb,3,0.71818,0.6474468142621577,0.95804,0.772700143564596,OOD
yelp,rotten,3,0.5659713194263886,0.5379692930967014,0.93484,0.6829332437210526,OOD
yelp,amazon,3,0.8442650201852292,0.7076363636363636,0.8706935123042505,0.7807422266800401,OOD
yelp,yelp,4,0.905,0.9345904537418974,0.9525525525525526,0.9434860202260559,IND
yelp,imdb,4,0.7111,0.6410379753601112,0.95948,0.7685800797833993,OOD
yelp,rotten,4,0.5549510990219805,0.5307561445135873,0.94844,0.6806269196543905,OOD
yelp,amazon,4,0.8132510092614581,0.6491983213171204,0.8997762863534675,0.7542192774096762,OOD
yelp,yelp,5,0.9075,0.9399167162403331,0.9495192307692307,0.9446935724962631,IND
yelp,imdb,5,0.71082,0.6408283233132932,0.95932,0.7683780536643973,OOD
yelp,rotten,5,0.5597111942238845,0.5339580584997498,0.93904,0.6807992344053592,OOD
yelp,amazon,5,0.8258845879838518,0.6937396404437077,0.8114839671886652,0.748006598845202,OOD
