train_domain,fold,epoch,loss,acc,val_loss,val_acc
rotten,4,2,0.2679976522922516,0.8857471346855164,0.5708867311477661,0.771399974822998
rotten,4,3,0.19170692563056946,0.9209229946136475,0.6951550245285034,0.7627000212669373
rotten,5,0,0.5449010729789734,0.7143750190734863,0.47236084938049316,0.7722772359848022
rotten,5,1,0.37727785110473633,0.8308749794960022,0.4630485475063324,0.7745774388313293
rotten,5,2,0.2762404978275299,0.8819000124931335,0.541426420211792,0.7729772925376892
rotten,5,3,0.19709844887256622,0.9187750220298767,0.6732107996940613,0.767376720905304
rotten,5,4,0.1431228369474411,0.9423999786376953,0.8444697260856628,0.7660766243934631
amazon,1,0,0.35011720657348633,0.8613749742507935,0.22346557676792145,0.9187841415405273
amazon,1,1,0.20050932466983795,0.9296485185623169,0.21804644167423248,0.9173592925071716
amazon,1,2,0.16047872602939606,0.9452624320983887,0.22610461711883545,0.9166468977928162
amazon,1,3,0.13311359286308289,0.9548800587654114,0.24510949850082397,0.9171218276023865
amazon,1,4,0.11982976645231247,0.9576110243797302,0.27232038974761963,0.9180716872215271
amazon,2,0,0.36724036931991577,0.8515198230743408,0.2782876491546631,0.8988363742828369
amazon,2,1,0.2014676034450531,0.9296485185623169,0.24299345910549164,0.9073854088783264
amazon,2,2,0.16671833395957947,0.9430063962936401,0.25775742530822754,0.9145095944404602
amazon,2,3,0.14156965911388397,0.9517928957939148,0.28432759642601013,0.910472571849823
amazon,2,4,0.11763331294059753,0.9596295356750488,0.30161038041114807,0.9156969785690308
amazon,3,0,0.325614869594574,0.8677273988723755,0.23811839520931244,0.9118974208831787
amazon,3,1,0.1900547444820404,0.9353479146957397,0.23258629441261292,0.9175967574119568
amazon,3,2,0.15479105710983276,0.9474590420722961,0.2559661567211151,0.9121348857879639
amazon,3,3,0.14347347617149353,0.9518522620201111,0.2780130207538605,0.9038233160972595
amazon,3,4,0.111849844455719,0.9630135297775269,0.2890211045742035,0.9095226526260376
amazon,4,0,0.34575021266937256,0.8642246723175049,0.2552681267261505,0.9002612233161926
amazon,4,1,0.19613978266716003,0.9308359026908875,0.22111955285072327,0.9180716872215271
amazon,4,2,0.1623528003692627,0.9443125128746033,0.2694275379180908,0.9061980247497559
amazon,4,3,0.16853243112564087,0.9380788207054138,0.2653365731239319,0.9116599559783936
amazon,4,4,0.14040309190750122,0.9504274725914001,0.2673032581806183,0.9111849665641785
amazon,5,0,0.337106853723526,0.8651745319366455,0.25124356150627136,0.9069104790687561
amazon,5,1,0.208643838763237,0.9253740310668945,0.22202028334140778,0.9223462343215942
amazon,5,2,0.1691257655620575,0.9403942227363586,0.2567194402217865,0.904535710811615
amazon,5,3,0.1399913728237152,0.9517335295677185,0.261893093585968,0.9168843626976013
amazon,5,4,0.11035920679569244,0.9606981873512268,0.28984686732292175,0.902635931968689
yelp,1,0,0.4307538866996765,0.8291249871253967,0.3170539438724518,0.8709999918937683
yelp,1,1,0.25728198885917664,0.8952500224113464,0.3111620247364044,0.8974999785423279
yelp,1,2,0.1686033010482788,0.9307500123977661,0.2871573865413666,0.9045000076293945
yelp,1,3,0.1057659387588501,0.9616249799728394,0.3585100471973419,0.8924999833106995
yelp,1,4,0.07220925390720367,0.9739999771118164,0.3710377812385559,0.8870000243186951
yelp,1,5,0.07536136358976364,0.9754999876022339,0.4971713423728943,0.8765000104904175
yelp,2,0,0.42193010449409485,0.8395000100135803,0.35994476079940796,0.8479999899864197
yelp,2,1,0.2536279261112213,0.8974999785423279,0.36661937832832336,0.8759999871253967
yelp,2,2,0.15802906453609467,0.9409999847412109,0.3562627136707306,0.8734999895095825
yelp,2,3,0.09969384968280792,0.9660000205039978,0.45887911319732666,0.8665000200271606
yelp,2,4,0.06443679332733154,0.9788749814033508,0.4906078577041626,0.859499990940094
yelp,2,5,0.05712219327688217,0.984000027179718,0.5735176801681519,0.8569999933242798
yelp,3,0,0.4243609607219696,0.8346250057220459,0.38043880462646484,0.7990000247955322
yelp,3,1,0.2791021764278412,0.8924999833106995,0.31457585096359253,0.8769999742507935
yelp,3,2,0.16359201073646545,0.937874972820282,0.3137536644935608,0.8805000185966492
yelp,3,3,0.12334635853767395,0.9581249952316284,0.35902902483940125,0.8535000085830688
yelp,3,4,0.11589835584163666,0.9570000171661377,0.3924657702445984,0.8730000257492065
yelp,3,5,0.05830478295683861,0.9825000166893005,0.5668161511421204,0.8690000176429749
yelp,4,0,0.4293736219406128,0.8374999761581421,0.3630571663379669,0.8454999923706055
yelp,4,1,0.257689893245697,0.8968750238418579,0.2770092785358429,0.8809999823570251
yelp,4,2,0.152476504445076,0.9431250095367432,0.3446965515613556,0.8824999928474426
yelp,4,3,0.0990864485502243,0.9668750166893005,0.3901181221008301,0.8450000286102295
yelp,4,4,0.0930626168847084,0.968500018119812,0.4287865459918976,0.8414999842643738
yelp,5,0,0.4184470772743225,0.8349999785423279,0.35419976711273193,0.8565000295639038
yelp,5,1,0.24302153289318085,0.9057499766349792,0.2692152261734009,0.8945000171661377
yelp,5,2,0.1636783480644226,0.9416249990463257,0.28543621301651,0.8884999752044678
yelp,5,3,0.11466573178768158,0.9582499861717224,0.3638439476490021,0.871999979019165
yelp,5,4,0.07895037531852722,0.971875011920929,0.3832396864891052,0.8759999871253967
