train_domain,test_domain,fold,accuracy,precision,recall,f1,eval_type
rotten,imdb,2,0.74058,0.7763127670326642,0.67592,0.72264631043257,OOD
rotten,amazon,2,0.7354072666824982,0.6065388951521984,0.4814317673378076,0.5367922175106011,OOD
rotten,yelp,2,0.6148,0.9296694850115296,0.5812109562710236,0.7152572442341809,OOD
rotten,rotten,3,0.781,0.8059380378657487,0.744139849026619,0.7738070646560627,IND
rotten,imdb,3,0.74256,0.7897276636407071,0.66116,0.7197474417591988,OOD
rotten,amazon,3,0.7391593445737354,0.638501941082439,0.41700223713646534,0.5045110068567304,OOD
rotten,yelp,3,0.5816,0.9402381965121225,0.5311148486304661,0.678796253646553,OOD
rotten,rotten,4,0.7775,0.7913518052057095,0.7538492301539692,0.7721454173067076,IND
rotten,imdb,4,0.74622,0.7752783864764545,0.69344,0.7320791368425498,OOD
rotten,amazon,4,0.7437188316314415,0.6272603538790589,0.4811334824757644,0.5445644834571236,OOD
rotten,yelp,4,0.6097,0.9359100769079077,0.5701585776069198,0.7086226203807391,OOD
rotten,rotten,5,0.7745774577457746,0.7889500423370025,0.747792937399679,0.7678203543469304,IND
rotten,imdb,5,0.7383,0.7612594834013069,0.69436,0.7262724096814007,OOD
rotten,amazon,5,0.7176917596770364,0.568794069788465,0.4692020879940343,0.5142203334423014,OOD
rotten,yelp,5,0.611,0.924549980850249,0.5800096107640558,0.7128303558245976,OOD
amazon,amazon,1,0.9173592970790786,0.8628659476117103,0.8682170542635659,0.865533230293663,IND
amazon,imdb,1,0.67622,0.7636918656850422,0.51036,0.6118397391325198,OOD
amazon,rotten,1,0.5668913378267565,0.5664138506135091,0.57056,0.5684793655221888,OOD
amazon,yelp,1,0.8008,0.9261103633916554,0.8266458433445459,0.8735559223054462,OOD
amazon,amazon,2,0.9073854191403468,0.9054393305439331,0.7961736571008095,0.8472983555207517,IND
amazon,imdb,2,0.63516,0.79044180849235,0.36784,0.502047278484468,OOD
amazon,rotten,2,0.5627112542250845,0.5699750089253838,0.51088,0.5388120148498143,OOD
amazon,yelp,2,0.6922,0.9447270261105459,0.6693897164824604,0.7835747433553649,OOD
amazon,amazon,3,0.9175967703633341,0.8810264385692068,0.8538055764883196,0.8672024492920015,IND
amazon,imdb,3,0.67654,0.7692307692307693,0.5044,0.6092817626168676,OOD
amazon,rotten,3,0.5653913078261565,0.5675061932287366,0.5498,0.5585127996749288,OOD
amazon,yelp,3,0.8248,0.924547803617571,0.8596828447861605,0.8909362549800797,OOD
amazon,amazon,4,0.9180717169318452,0.8560171919770774,0.8924570575056012,0.8738574040219378,IND
amazon,imdb,4,0.66802,0.7617297027852202,0.489,0.5956296133888767,OOD
amazon,rotten,4,0.5587911758235165,0.5603398735735983,0.54604,0.5530975244114906,OOD
amazon,yelp,4,0.837,0.9176441227851261,0.883469485824123,0.900232586607908,OOD
amazon,amazon,5,0.9223462360484446,0.9029567854435178,0.8568345323741007,0.8792912513842747,IND
amazon,imdb,5,0.65542,0.7629780033840947,0.45092,0.5668384663733501,OOD
amazon,rotten,5,0.5512910258205164,0.5621757890143986,0.46384,0.5082955267714292,OOD
amazon,yelp,5,0.7913,0.9239972807613868,0.8164344065353195,0.8668920211748198,OOD
yelp,yelp,1,0.9045,0.9266628766344513,0.9633569739952719,0.9446537235583888,IND
yelp,imdb,1,0.64472,0.5896565396243247,0.9518,0.7281880221562567,OOD
yelp,rotten,1,0.5456909138182764,0.5257766847911919,0.93216,0.6723309724045411,OOD
yelp,amazon,1,0.7473284255521254,0.5664268585131894,0.8806860551826995,0.6894337419731466,OOD
yelp,yelp,2,0.8735,0.8887646730016769,0.9671532846715328,0.9263035246140402,IND
yelp,imdb,2,0.59542,0.5546669111075464,0.96816,0.7052755802264085,OOD
yelp,rotten,2,0.5408108162163243,0.5224192095608428,0.9512,0.6744281682950695,OOD
yelp,amazon,2,0.7090952267869864,0.524896978021978,0.9118568232662192,0.6662670952977715,OOD
yelp,yelp,3,0.8805,0.8975937325125909,0.9662650602409638,0.930664345807949,IND
yelp,imdb,3,0.63178,0.5809519129174141,0.94572,0.7197588931001415,OOD
yelp,rotten,3,0.5314506290125802,0.5170981977869085,0.95144,0.6700376061634671,OOD
yelp,amazon,3,0.6982664450249347,0.5147157190635452,0.9181208053691275,0.6596303241360836,OOD
yelp,yelp,4,0.881,0.917550058892815,0.9408212560386473,0.9290399522957663,IND
yelp,imdb,4,0.66124,0.6072987649063032,0.9126,0.7292865362485615,OOD
yelp,rotten,4,0.5247504950099002,0.5132383763206296,0.95992,0.6688592212714959,OOD
yelp,amazon,4,0.7035858465922584,0.519394750041799,0.9266219239373602,0.6656666845234906,OOD
yelp,yelp,5,0.8945,0.9387387387387387,0.9348086124401914,0.9367695534911598,IND
yelp,imdb,5,0.70852,0.6566029800528719,0.87428,0.7499656876200933,OOD
yelp,rotten,5,0.5452709054181084,0.525613177663137,0.9292,0.6714260939938724,OOD
yelp,amazon,5,0.8195203039658039,0.6721175494726863,0.8459358687546606,0.7490755414685684,OOD
